,0
0,8.482916666666666
1,8.02125
2,9.019583333333337
3,8.085416666666665
4,8.768750000000002
5,7.462083333333332
6,8.783750000000001
7,7.9154166666666645
8,8.810416666666667
9,7.83625
10,8.245416666666667
11,7.693749999999998
12,8.362083333333333
13,10.904583333333333
14,10.595416666666667
15,9.964583333333335
16,9.36875
17,8.294583333333334
18,7.399583333333331
19,8.447916666666666
20,6.752083333333332
21,8.046249999999999
22,11.485416666666667
23,6.25125
24,6.413749999999999
25,6.9554166666666655
26,7.092083333333332
27,7.923750000000002
28,8.237083333333333
29,7.559583333333333
30,7.293749999999999
31,7.30875
32,9.592083333333333
33,10.086250000000001
34,7.83625
35,9.148749999999998
36,8.819583333333336
37,7.83625
38,9.390416666666665
39,7.822916666666668
40,8.893749999999999
41,8.896250000000002
42,9.597083333333332
43,6.98875
44,6.532916666666666
45,7.965416666666666
46,8.169583333333332
47,8.68541666666667
48,8.277916666666668
49,8.24875
50,2.357058823529412
51,1.9654166666666677
52,1.7976470588235285
53,1.7930952380952379
54,1.9529166666666662
55,0.7962500000000001
56,2.2895833333333333
57,4.693571428571428
58,2.130416666666666
59,2.12547619047619
60,4.424047619047619
61,0.8412500000000002
62,1.7445238095238091
63,1.4779166666666665
64,2.1330952380952377
65,2.309583333333334
66,0.9787499999999998
67,1.3130952380952385
68,1.417083333333334
69,1.804047619047619
70,2.0629166666666667
71,1.0307142857142857
72,2.0779166666666673
73,1.3812499999999999
74,1.3954166666666674
75,1.9887499999999996
76,2.2211764705882358
77,1.4623529411764706
78,1.135416666666667
79,2.5945238095238095
80,2.193571428571429
81,2.504047619047618
82,1.421666666666667
83,2.220416666666666
84,0.9837499999999998
85,1.7737500000000004
86,2.2352941176470584
87,1.30125
88,1.2407142857142863
89,1.612142857142857
90,1.1702380952380949
91,1.397916666666666
92,1.2997619047619047
93,4.547380952380955
94,1.1197619047619045
95,1.0797619047619043
96,0.9921428571428565
97,1.080416666666667
98,4.248400000000001
99,1.1150000000000002
100,2.930238095238095
101,2.4004166666666658
102,2.773095238095238
103,1.118333333333333
104,1.9273809523809518
105,6.023095238095236
106,2.2078571428571423
107,4.014999999999999
108,1.8688095238095237
109,4.5664285714285695
110,0.8592857142857143
111,1.2923529411764703
112,1.5626190476190476
113,2.2645833333333334
114,2.437058823529414
115,1.3169047619047622
116,1.0669047619047618
117,7.68214285714286
118,7.795000000000001
119,2.0487499999999996
120,2.3740476190476207
121,2.06375
122,6.58309523809524
123,2.0194117647058825
124,1.963095238095239
125,3.087380952380953
126,2.0520833333333335
127,2.144705882352941
128,1.3678571428571429
129,2.489285714285714
130,3.725476190476189
131,7.0521428571428615
132,1.4797619047619042
133,1.9111764705882361
134,2.02529411764706
135,4.972142857142858
136,2.0273809523809514
137,1.053095238095238
138,1.9437500000000003
139,1.5978571428571438
140,2.0421428571428573
141,1.548809523809524
142,2.4004166666666658
143,2.655952380952381
144,2.5307142857142857
145,1.3402380952380955
146,1.9935294117647064
147,0.8378571428571433
148,1.5669047619047627
149,2.1776470588235295
